,doc_id,vol_1,vol_1_type,price_1,price_1_type,maturity,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
17,CLR20110225,7320000,bbls,,floor,20122012,swap,oil,,floor,,ceiling,,ceiling,,
18,CLR20110225,5332620,bbls,$80,floor,20122012,collar,oil,80,floor,$93.25|$97.00,ceiling,94.71,ceiling,,
20,CLR20110225,5110000,bbls,,floor,20132013,swap,oil,,floor,,ceiling,,ceiling,,
21,CLR20110225,4745000,bbls,$80|$85,floor,20132013,collar,oil,82.31,floor,$92.30|$101.70,ceiling,97.58,ceiling,,
2,CLR20110225,11862500,mmbtu,$6.36,swapsweightedaverage,20112011,swap,natural gas,,,,,,,,
2,CLR20120224,3591500,bbls,$111.12,weighted average price,20122012,swap,oil,,,,,,,,
4,CLR20120224,1460000,bbls,$107.63,weighted average price,20132013,swap,oil,,,,,,,,
2,CLR20120224,1510000,mmbtu,$3.06,weighted average price,20122012,swap,natural gas,,,,,,,,
4,CLR20120224,3680000,mmbtu,$3.10,weighted average price,20122012,swap,natural gas,,,,,,,,
6,CLR20120224,7300000,mmbtu,$3.73,weighted average price,20132013,swap,natural gas,,,,,,,,
5,CLR20120224,7320000,bbls,$88.69,swapsweightedaverage,20122012,swap,oil,,,,,,,,
6,CLR20120224,5332620,bbls,,swapsweightedaverage,20122012,collar,oil,,,,,,,,
8,CLR20120224,5110000,bbls,$88.63,swapsweightedaverage,20132013,swap,oil,,,,,,,,
15,CLR20120224,3660000,mmbtu,$5.07,swapsweightedaverage,20122012,swap,natural gas,,,,,,,,
5,CLR20120224,7320000,bbls,,floor,20122012,swap,oil,,floor,,ceiling,,ceiling,,
6,CLR20120224,5332620,bbls,$80.00,floor,20122012,collar,oil,$80.00,floor,$93.25|$97.00,ceiling,$94.71,ceiling,,
8,CLR20120224,5110000,bbls,,floor,20132013,swap,oil,,floor,,ceiling,,ceiling,,
