,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,vol_2,vol_2_type,price_4,price_4_type,price_5,price_5_type,vol_3,vol_3_type,price_6,price_6_type,instrument_type,product_type,additional,price_7,price_7_type,price_8,price_8_type,price_9,price_9_type,price_10,price_10_type,price_11,price_11_type,price_12,price_12_type,price_13,price_13_type,vol_4,vol_4_type
2,APC20070228,2009,index,,"two-way collars (mbbls/d),crude oil,price per barrel",$87.04,"ceiling sold price,crude oil,price per barrel",$52.51,"floor purchased price,crude oil,price per barrel",$37.51,"floor sold price,crude oil,price per barrel",,"fixed price (mbbls/d),crude oil,price per barrel",,"ceiling sold price,crude oil,price per barrel,",,"floor purchased price,crude oil,price per barrel,",,,,"price per barrel,crude oil,price per barrel",collar,oil,,,,,,,,,,,,,,,,,
3,APC20070228,average2010|2012,index,,"two-way collars (mbbls/d),crude oil,price per barrel",$87.04,"ceiling sold price,crude oil,price per barrel",$49.35,"floor purchased price,crude oil,price per barrel",$34.34,"floor sold price,crude oil,price per barrel",,"fixed price (mbbls/d),crude oil,price per barrel",,"ceiling sold price,crude oil,price per barrel,",,"floor purchased price,crude oil,price per barrel,",,,,"price per barrel,crude oil,price per barrel",collar,oil,,,,,,,,,,,,,,,,,
0,APC20080229,2008,index,1400,"three-way collars (thousand mmbtu/d),natural gas,",$10.97,"ceiling sold price,natural gas,average price per mmbtu",$7.50,"floor purchased price,natural gas,average price per mmbtu",$5.32,"floor sold price,natural gas,average price per mmbtu",,,,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
1,APC20080229,2009,index,190,"three-way collars (thousand mmbtu/d),natural gas,",$11.54,"ceiling sold price,natural gas,average price per mmbtu",$7.50,"floor purchased price,natural gas,average price per mmbtu",$5.37,"floor sold price,natural gas,average price per mmbtu",,,,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20080229,2008,index,1405,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(0.85,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20080229,2009,index,1030,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(0.87,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
2,APC20080229,2010,index,345,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.08,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20080229,"2008,",index,86.0,"three-way collars (mbbls/d),crude oil,",$92.98,"ceiling sold price,crude oil,average price per barrel",$56.07,"floor purchased price,crude oil,average price per barrel",$41.07,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
1,APC20080229,"2009,",index,48.0,"three-way collars (mbbls/d),crude oil,",$87.04,"ceiling sold price,crude oil,average price per barrel",$52.51,"floor purchased price,crude oil,average price per barrel",$37.51,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
2,APC20080229,"2010,",index,18.0,"three-way collars (mbbls/d),crude oil,",$86.76,"ceiling sold price,crude oil,average price per barrel",$49.19,"floor purchased price,crude oil,average price per barrel",$34.18,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
3,APC20080229,average2011|2012,index,2,"three-way collars (mbbls/d),crude oil,",$88.17,"ceiling sold price,crude oil,average price per barrel",$50.00,"floor purchased price,crude oil,average price per barrel",$35.00,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
0,APC20090225,2009,index,530,"three-way collars (thousand mmbtu/d),natural gas,",$11.25,"ceiling sold price,natural gas,average price per mmbtu",$7.50,"floor purchased price,natural gas,average price per mmbtu",$5.45,"floor sold price,natural gas,average price per mmbtu",,,,,,,,,,,collar,natural gas,,,,,,,,,,,,,,,,,
0,APC20090225,2009,index,1200,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(0.85,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
1,APC20090225,2010,index,465,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.16,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
2,APC20090225,2011,index,45,"basis swaps (thousand mmbtu/d),natural gas,average price per mmbtu",$(1.74,"price per mmbtu,natural gas,average price per mmbtu",,,,,,,,,,,,,,,"basis swap, swap",natural gas,,,,,,,,,,,,,,,,,
0,APC20090225,"2009,",index,48.0,"three-way collars (mbbls/d),crude oil,",$87.04,"ceiling sold price,crude oil,average price per barrel",$52.51,"floor purchased price,crude oil,average price per barrel",$37.51,"floor sold price,crude oil,average price per barrel",,,,,,,,,,,collar,oil,,,,,,,,,,,,,,,,,
