,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,additional,instrument_type,product_type,price_2,price_2_type,price_3,price_3_type,price_4,price_4_type,price_5,price_5_type
5,CLR20150224,swaps - henry hub,",natural gas - henry hub,,period and type of contractjanuary 2015 - december 2015",24500000,",,,mmbtus",$4.27,",swaps weighted average price,swaps weighted average price,swaps weighted average price",,swap,natural gas,,",floors,,range",,",floors,weighted average price,weighted average price",,",ceilings,,range",,",ceilings,weighted average price,weighted average price"
6,CLR20150224,Collars - Henry Hub,",natural gas - henry hub,,period and type of contractjanuary 2015 - december 2015",29200000,",,,mmbtus",,",swaps weighted average price,swaps weighted average price,swaps weighted average price",,collar,natural gas,$3.50|$3.75,",floors,,range",$3.69,",floors,weighted average price,weighted average price",$4.89|$5.48,",ceilings,,range",$5.04,",ceilings,weighted average price,weighted average price"
8,CLR20150224,Swaps - Henry Hub,",natural gas - henry hub,,period and type of contractjanuary 2015 - december 2015",63110000,",,,mmbtus",$3.98,",swaps weighted average price,swaps weighted average price,swaps weighted average price",january 2016 - december 2016,swap,natural gas,,",floors,,range",,",floors,weighted average price,weighted average price",,",ceilings,,range",,",ceilings,weighted average price,weighted average price"
5,CLR20160224,"written call options - ice brent ,",",crude oil - ice brent,,period and type of contractjanuary 2016 - december 2016",1464000,",,,bbls",$107.70,",,,ceiling price",,call,oil,,,,,,,,
5,CLR20160224,swaps - henry hub,",natural gas - henry hub,,period and type of contractjanuary 2016 - december 2016",133710000,",,,mmbtus",$3.17,",swaps weighted average price,swaps weighted average price,swaps weighted average price",,swap,natural gas,,",floors,,range",,",floors,weighted average price,weighted average price",,",ceilings,,range",,",ceilings,weighted average price,weighted average price"
7,CLR20160224,Swaps - Henry Hub,",natural gas - henry hub,,period and type of contractjanuary 2016 - december 2016",25550000,",,,mmbtus",$3.35,",swaps weighted average price,swaps weighted average price,swaps weighted average price",january 2017 - december 2017,swap,natural gas,,",floors,,range",,",floors,weighted average price,weighted average price",,",ceilings,,range",,",ceilings,weighted average price,weighted average price"
8,CLR20160224,Collars - Henry Hub,",natural gas - henry hub,,period and type of contractjanuary 2016 - december 2016",65700000,",,,mmbtus",,",swaps weighted average price,swaps weighted average price,swaps weighted average price",january 2017 - december 2017,collar,natural gas,$2.40|$3.00,",floors,,range",$2.47,",floors,weighted average price,weighted average price",$2.92|$3.88,",ceilings,,range",$3.08,",ceilings,weighted average price,weighted average price"
5,CLR20170222,swaps - henry hub,",,,period and type of contractfebruary 2017 - december 2017",49520000,",,,mmbtus",$3.37,",swaps weighted average price,swaps weighted average price,swaps weighted average price",,swap,natural gas,,,,,,,,
7,CLR20170222,Swaps - Henry Hub,",,,period and type of contractfebruary 2017 - december 2017",6300000,",,,mmbtus",$3.28,",swaps weighted average price,swaps weighted average price,swaps weighted average price",january 2018 - march 2018,swap,natural gas,,,,,,,,
5,CLR20170222,swaps - henry hub,",,,period and type of contractjanuary 2017 - december 2017",72690000,",,,mmbtus",$3.41,",swaps weighted average price,swaps weighted average price,swaps weighted average price",,swap,natural gas,,",floors,,range",,",floors,weighted average price,weighted average price",,",ceilings,,range",,",ceilings,weighted average price,weighted average price"
6,CLR20170222,Collars - Henry Hub,",,,period and type of contractjanuary 2017 - december 2017",65700000,",,,mmbtus",,",swaps weighted average price,swaps weighted average price,swaps weighted average price",,collar,natural gas,$2.40|$3.00,",floors,,range",$2.47,",floors,weighted average price,weighted average price",$2.92|$3.88,",ceilings,,range",$3.08,",ceilings,weighted average price,weighted average price"
