,doc_id,price_1,price_1_type,price_2,price_2_type,vol_1,vol_1_type,instrument_type,product_type,datetime_1,datetime_1_type,additional,price_3,price_3_type
6,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",3000,",,bbls perday",call,oil,"2H17 ,",",,settlementperiod",,60.12,",collars,weightedaverage ceilingprice"
7,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",3000,",,bbls perday","swaption, swap",oil,"2H17 ,",",,settlementperiod",,,",collars,weightedaverage ceilingprice"
8,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",3000,",,bbls perday","swaption, swap",oil,"2H17 ,",",,settlementperiod",,,",collars,weightedaverage ceilingprice"
9,NBL20170214,39.08,",collars,weightedaverage short put price",47.71,",collars,weightedaveragefloorprice",24000,",,bbls perday","three-way collar, collar",oil,2017,",,settlementperiod",,61.20,",collars,weightedaverage ceilingprice"
10,NBL20170214,,",collars,weightedaverage short put price",40.00,",collars,weightedaveragefloorprice",7000,",,bbls perday","two-way collar, collar",oil,2017,",,settlementperiod",,53.29,",collars,weightedaverage ceilingprice"
11,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",4000,",,bbls perday",swap,oil,2017,",,settlementperiod",,,",collars,weightedaverage ceilingprice"
12,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",3000,",,bbls perday",call,oil,2017,",,settlementperiod",,57.00,",collars,weightedaverage ceilingprice"
13,NBL20170214,43.00,",collars,weightedaverage short put price",50.00,",collars,weightedaveragefloorprice",2000,",,bbls perday","three-way collar, collar",oil,2017,",,settlementperiod",,63.15,",collars,weightedaverage ceilingprice"
14,NBL20170214,35.00,",collars,weightedaverage short put price",45.00,",collars,weightedaveragefloorprice",2000,",,bbls perday","three-way collar, collar",oil,2017,",,settlementperiod",,66.33,",collars,weightedaverage ceilingprice"
15,NBL20170214,43.00,",collars,weightedaverage short put price",50.00,",collars,weightedaveragefloorprice",5000,",,bbls perday","three-way collar, collar",oil,2018,",,settlementperiod",,68.50,",collars,weightedaverage ceilingprice"
16,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",5000,",,bbls perday",swap,oil,2018,",,settlementperiod",,,",collars,weightedaverage ceilingprice"
17,NBL20170214,,",collars,weightedaverage short put price",,",collars,weightedaveragefloorprice",3000,",,bbls perday","swaption, swap",oil,2018,",,settlementperiod",,,",collars,weightedaverage ceilingprice"
18,NBL20170214,40.00,",collars,weightedaverage short put price",50.00,",collars,weightedaveragefloorprice",3000,",,bbls perday","three-way collar, collar",oil,2018,",,settlementperiod",,70.41,",collars,weightedaverage ceilingprice"
3,NBL20170214,$2.92,",swaps,weightedaveragefixedprice",,,30000,",,mmbtuper day",swap,natural gas,"1H17 ,",",,settlementperiod",,,
4,NBL20170214,3.45,",swaps,weightedaveragefixedprice",,,30000,",,mmbtuper day",swap,natural gas,"2H17 ,",",,settlementperiod",,,
5,NBL20170214,2.92,",swaps,weightedaveragefixedprice",,,30000,",,mmbtuper day","swaption, swap",natural gas,"2H17 ,",",,settlementperiod",,,
6,NBL20170214,,",swaps,weightedaveragefixedprice",,,210000,",,mmbtuper day","three-way collar, collar",natural gas,2017,",,settlementperiod",,,
7,NBL20170214,3.16,",swaps,weightedaveragefixedprice",,,110000,",,mmbtuper day",swap,natural gas,2017,",,settlementperiod",,,
8,NBL20170214,,",swaps,weightedaveragefixedprice",,,70000,",,mmbtuper day","two-way collar, collar",natural gas,2017,",,settlementperiod",,,
9,NBL20170214,,",swaps,weightedaveragefixedprice",,,70000,",,mmbtuper day","three-way collar, collar",natural gas,2018,",,settlementperiod",,,
3,NBL20170214,,",collars,weightedaverageshort put price",,",collars,weightedaveragefloorprice",30000,",,mmbtuper day",swap,natural gas,"1H17 ,",",,settlementperiod",,,",collars,weightedaverageceilingprice"
4,NBL20170214,,",collars,weightedaverageshort put price",,",collars,weightedaveragefloorprice",30000,",,mmbtuper day",swap,natural gas,"2H17 ,",",,settlementperiod",,,",collars,weightedaverageceilingprice"
5,NBL20170214,,",collars,weightedaverageshort put price",,",collars,weightedaveragefloorprice",30000,",,mmbtuper day","swaption, swap",natural gas,"2H17 ,",",,settlementperiod",,,",collars,weightedaverageceilingprice"
6,NBL20170214,2.54,",collars,weightedaverageshort put price",2.96,",collars,weightedaveragefloorprice",210000,",,mmbtuper day","three-way collar, collar",natural gas,2017,",,settlementperiod",,3.62,",collars,weightedaverageceilingprice"
7,NBL20170214,,",collars,weightedaverageshort put price",,",collars,weightedaveragefloorprice",110000,",,mmbtuper day",swap,natural gas,2017,",,settlementperiod",,,",collars,weightedaverageceilingprice"
8,NBL20170214,,",collars,weightedaverageshort put price",2.93,",collars,weightedaveragefloorprice",70000,",,mmbtuper day","two-way collar, collar",natural gas,2017,",,settlementperiod",,3.32,",collars,weightedaverageceilingprice"
9,NBL20170214,2.50,",collars,weightedaverageshort put price",2.80,",collars,weightedaveragefloorprice",70000,",,mmbtuper day","three-way collar, collar",natural gas,2018,",,settlementperiod",,3.76,",collars,weightedaverageceilingprice"
